,INSTITUICAO_ENSINO_ALUNO,NOME,IDADE_ALUNO,ANOS_PM,FASE_TURMA,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,Ano,FASE,TURMA,SINALIZADOR_INGRESSANTE,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,NIVEL_IDEAL,DEFASAGEM,ANO_INGRESSO,BOLSISTA,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,INDICADO_BOLSA
1478,,ALUNO-97,,,,Não,7.501754052631579,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.467105263157894,7.5,7.0,7.5,5.58333,10.0,2022,3.0,D,,,,,,Fase 3 (7º e 8º ano),,2018.0,Não,310.0,35.0,1.0,5.333333333333333,6.5,9.166666666666666,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não
1479,,ALUNO-98,,,,Não,7.396527277777778,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.520833333333332,7.5,7.055555555555556,7.8125,7.2916625,5.0,2022,3.0,D,,,,,,Fase 5 (1º EM),,2021.0,Não,363.0,42.0,2.0,6.333333333333333,7.166666666666667,7.666666666666667,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sim
1480,,ALUNO-99,,,,Não,7.7833335,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,10.0,7.5,7.25,7.5,7.2916625,5.0,2022,7.0,D,,,,,,Fase 8 (Universitários),,2022.0,Não,207.0,3.0,2.0,8.0,6.5,,4.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Sim
1481,,ALUNO-100,,,,Não,6.042318760312152,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.475473801560758,5.0,1.666666666666666,6.25,7.444443333333333,5.0,2022,2.0,K,,,,,,Fase 4 (9º ano),,2018.0,Não,720.0,132.0,10.0,1.166666666666667,2.166666666666667,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não
1482,,ALUNO-101,,,,Não,7.477568777777778,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.08333,7.854166666666666,6.25,6.622222222222223,7.65625,7.416665,10.0,2022,3.0,M,,,,,,Fase 3 (7º e 8º ano),,2022.0,Não,324.0,36.0,1.0,6.333333333333333,5.333333333333333,8.200000000000001,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sim
1483,,ALUNO-102,,,,Não,7.475860455026456,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.333340000000001,8.941798941798943,7.5,7.666666666666666,6.041666666666667,7.833333333333333,5.0,2022,1.0,P,,,,,,Fase 2 (5º e 6º ano),,2020.0,Não,325.0,84.0,5.0,6.833333333333333,8.5,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não
1484,,ALUNO-103,,,,Não,7.105690655172413,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,8.903448275862068,5.625,6.0,5.625,7.749995,5.0,2022,1.0,F,,,,,,Fase 2 (5º e 6º ano),,2020.0,Não,454.0,116.0,4.0,6.333333333333333,5.666666666666667,,2.0,Mantido na Fase atual,Promovido de Fase,,,Não
1485,,ALUNO-104,,,,Sim,8.357710510121457,,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.392712550607287,7.5,7.25,5.625,8.58333,10.0,2022,0.0,B,,,,,,ALFA  (2º e 3º ano),,2021.0,Não,52.0,13.0,1.0,7.666666666666667,6.833333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,Não
1486,,ALUNO-107,,,,Não,6.01131119047619,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.91668,4.952380952380953,7.5,4.0,5.625,8.083335,5.0,2022,0.0,C,,,,,,Fase 2 (5º e 6º ano),,2022.0,Não,728.0,180.0,3.0,8.0,0.0,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,Não
1487,,ALUNO-108,,,,Não,7.642290505279036,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,8.565610859728508,7.5,8.416666666666668,5.625,7.666665,5.0,2022,0.0,O,,,,,,Fase 1 (4º ano),,2022.0,Não,256.0,72.0,4.0,8.833333333333334,8.0,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,Não
1488,,ALUNO-110,,,,Não,7.426485448585232,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,6.590752242926156,8.125,5.5,5.625,8.166665,10.0,2022,0.0,H,,,,,,ALFA  (2º e 3º ano),,2022.0,Não,345.0,101.0,4.0,5.3,5.7,,2.0,Promovido de Fase,Mantido na Fase atual,,,Não
1489,,ALUNO-113,,,,Não,6.40909040909091,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,6.253787878787879,5.625,5.166666666666666,5.625,5.4166575,10.0,2022,3.0,M,,,,,,Fase 3 (7º e 8º ano),,2019.0,Não,659.0,86.0,7.0,5.5,4.833333333333333,,4.0,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,Não
1490,,ALUNO-114,,,,Não,7.484211146117041,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,7.748129063918538,7.5,8.766666666666666,5.3125,7.25,5.0,2022,0.0,K,,,,,,Fase 1 (4º ano),,2022.0,Não,318.0,94.0,7.0,9.466666666666669,8.066666666666666,,2.0,Promovido de Fase,Mantido na Fase atual,,,Não
1491,,ALUNO-116,,,,Não,7.913890666666667,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.333333333333332,7.5,5.75,6.25,7.61111,10.0,2022,2.0,B,,,,,,Fase 2 (5º e 6º ano),,2022.0,Não,163.0,22.0,3.0,7.5,4.0,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não
1492,,ALUNO-118,,,,Sim,8.334031111111113,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,8.38888888888889,7.5,9.416666666666668,6.5625,9.33334,5.0,2022,1.0,H,,,,,,Fase 2 (5º e 6º ano),,2019.0,Não,57.0,10.0,1.0,10.0,8.833333333333334,,2.0,Promovido de Fase + Bolsa,Promovido de Fase,,,Sim
1493,,ALUNO-119,,,,Não,8.230908478550688,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,8.635443503864556,6.25,8.888888888888888,7.34375,7.249995,10.0,2022,3.0,K,,,,,,Fase 3 (7º e 8º ano),,2022.0,Não,76.0,13.0,2.0,8.666666666666666,9.5,8.5,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não
1494,,ALUNO-121,,,,Não,6.244752193362194,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.466810966810968,7.5,2.5,6.458333333333334,6.777773333333332,5.0,2022,2.0,M,,,,,,Fase 3 (7º e 8º ano),,2022.0,Não,696.0,128.0,11.0,3.0,2.0,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não
1495,,ALUNO-122,,,,Não,8.265278666666667,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,10.0,7.5,8.0,6.041666666666667,7.055549999999999,10.0,2022,1.0,L,,,,,,Fase 1 (4º ano),,2022.0,Não,67.0,14.0,1.0,6.5,9.5,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não
1496,,ALUNO-123,,,,Sim,7.619194363636365,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,6.818181818181817,7.5,6.0,6.666666666666666,8.444446666666668,10.0,2022,2.0,A,,,,,,Fase 2 (5º e 6º ano),,2022.0,Não,265.0,42.0,6.0,6.0,6.0,,3.0,Mantido na Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,,Sim
1497,,ALUNO-124,,,,Não,7.209561440115441,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.033910533910534,7.5,5.166666666666667,5.416666666666667,6.888886666666665,10.0,2022,1.0,A,,,,,,Fase 1 (4º ano),,2021.0,Não,424.0,109.0,9.0,5.666666666666667,4.666666666666667,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não
1498,,ALUNO-126,,,,Não,7.216575886639676,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,8.468286099865047,7.5,7.333333333333333,4.0625,7.5,5.0,2022,0.0,Q,,,,,,Fase 2 (5º e 6º ano),,2021.0,Não,421.0,126.0,4.0,8.166666666666666,6.5,,2.0,Promovido de Fase,Promovido de Fase,,,Não
1499,,ALUNO-127,,,,Não,6.865748086580086,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,7.932900432900433,7.5,5.5,5.625,6.833329999999998,5.0,2022,1.0,A,,,,,,Fase 2 (5º e 6º ano),,2021.0,Não,532.0,134.0,10.0,4.333333333333333,6.666666666666667,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não
1500,,ALUNO-128,,,,Não,7.00427655844156,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,9.45887445887446,5.625,6.083333333333333,5.0,7.166665,5.0,2022,0.0,O,,,,,,Fase 2 (5º e 6º ano),,2019.0,Não,485.0,137.0,11.0,6.333333333333333,5.833333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,Não
1501,,ALUNO-129,,,,Não,7.203235887774063,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,6.793942772203643,5.625,8.083333333333332,6.875,7.888893333333335,5.0,2022,2.0,I,,,,,,Fase 3 (7º e 8º ano),,2021.0,Não,428.0,62.0,3.0,8.666666666666666,7.5,,3.0,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,,Sim
1502,,ALUNO-130,,,,Não,8.259504831168831,,Topázio,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,7.489177489177488,8.125,9.266666666666666,5.625,7.91667,10.0,2022,0.0,C,,,,,,ALFA  (2º e 3º ano),,2022.0,Não,72.0,19.0,1.0,8.966666666666667,9.566666666666666,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,Não
1503,,ALUNO-131,,,,Não,7.423958,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.75,4.375,6.75,7.03125,6.95833,10.0,2022,3.0,A,,,,,,Fase 3 (7º e 8º ano),,2022.0,Não,347.0,40.0,9.0,6.0,7.5,,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não
1504,,ALUNO-133,,,,Não,7.292060604010025,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,9.116541353383456,6.875,7.166666666666666,5.3125,7.583335,5.0,2022,1.0,G,,,,,,Fase 3 (7º e 8º ano),,2019.0,Não,396.0,104.0,2.0,5.666666666666667,8.666666666666666,,2.0,Mantido na Fase atual,Promovido de Fase,,,Não
1505,,ALUNO-134,,,,Não,7.086938830687831,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,9.153439153439152,5.625,5.75,7.1875,6.624995,5.0,2022,3.0,I,,,,,,Fase 5 (1º EM),,2022.0,Não,460.0,57.0,2.0,6.0,5.5,,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não
1506,,ALUNO-135,,,,Não,5.262717116883117,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,4.75108225108225,5.0,2.416666666666667,5.625,6.833326666666666,5.0,2022,1.0,A,,,,,,Fase 2 (5º e 6º ano),,2019.0,Não,805.0,185.0,13.0,2.0,2.833333333333333,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não
1507,,ALUNO-138,,,,Sim,8.452910432147561,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.552042160737813,7.5,9.65,5.625,9.0,5.0,2022,0.0,Z,,,,,,Fase 1 (4º ano),,2022.0,Não,41.0,9.0,2.0,9.7,9.6,,2.0,Promovido de Fase,Mantido na Fase atual,,,Não
1508,,ALUNO-140,,,,Não,6.952048450292399,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,7.218567251461989,5.625,7.25,5.625,7.416665,5.0,2022,0.0,J,,,,,,Fase 2 (5º e 6º ano),,2022.0,Não,505.0,145.0,9.0,8.0,6.5,,2.0,Promovido de Fase,Promovido de Fase,,,Não
1509,,ALUNO-141,,,,Não,7.338636696969697,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,8.068181818181818,7.5,5.166666666666667,7.5,6.166660000000001,10.0,2022,3.0,N,,,,,,Fase 3 (7º e 8º ano),,2022.0,Não,378.0,43.0,5.0,6.0,4.5,5.0,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não
1510,,ALUNO-142,,,,Sim,8.083730668737061,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,8.989820565907522,7.5,7.777777777777779,7.96875,8.41667,5.0,2022,3.0,F,,,,,,Fase 4 (9º ano),,2022.0,Não,121.0,19.0,6.0,6.833333333333333,7.666666666666667,8.833333333333334,4.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim
1511,,ALUNO-143,,,,Não,6.330913823620824,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,6.444493006993008,5.0,5.111111111111111,7.03125,7.208335,5.0,2022,3.0,F,,,,,,Fase 4 (9º ano),,2021.0,Não,674.0,91.0,12.0,4.333333333333333,6.5,4.5,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não
1512,,ALUNO-144,,,,Não,7.946686340802987,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.15703781512605,7.5,7.888888888888888,8.125,8.208335,5.0,2022,4.0,H,,,,,,Fase 5 (1º EM),,2022.0,Não,156.0,15.0,1.0,6.333333333333333,7.333333333333333,10.0,4.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sim
1513,,ALUNO-148,,,,Não,7.618983703703704,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.351851851851851,7.5,6.5,6.041666666666667,8.222223333333332,5.0,2022,1.0,P,,,,,,Fase 2 (5º e 6º ano),,2022.0,Não,267.0,69.0,4.0,8.0,5.0,,3.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,,Não
1514,,ALUNO-150,,,,Sim,8.219954610229276,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.717813051146384,5.0,9.0,6.875,8.94445,5.0,2022,2.0,A,,,,,,Fase 3 (7º e 8º ano),,2022.0,Não,80.0,9.0,2.0,8.666666666666666,9.333333333333334,,3.0,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,,Sim
1515,,ALUNO-151,,,,Não,8.225582168498168,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.33334,8.436240842490841,6.875,7.900000000000001,8.125,8.125,10.0,2022,3.0,K,,,,,,Fase 3 (7º e 8º ano),,2019.0,Sim,79.0,14.0,3.0,8.0,7.166666666666667,8.533333333333333,4.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase + Bolsa,Não
1516,,ALUNO-152,,,,Não,7.618388587937373,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,7.806870995242416,5.0,7.644444444444443,7.03125,7.2499975,10.0,2022,4.0,A,,,,,,Fase 3 (7º e 8º ano),,2019.0,Sim,268.0,22.0,7.0,7.0,7.833333333333333,8.1,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Não
1517,,ALUNO-153,,,,Sim,9.105280944444443,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.09722222222222,8.125,8.700000000000001,8.75,9.2916725,10.0,2022,5.0,F,,,,,,Fase 5 (1º EM),,2017.0,Sim,3.0,3.0,1.0,9.333333333333334,8.333333333333334,8.433333333333334,4.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não
1518,,ALUNO-154,,,,Não,4.934497092833093,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,3.49998,3.797498797498797,7.5,3.75,6.25,5.999996666666666,5.0,2022,1.0,N,,,,,,Fase 3 (7º e 8º ano),,2019.0,Não,828.0,190.0,10.0,4.833333333333333,2.666666666666667,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não
1519,,ALUNO-156,,,,Não,7.535259906926407,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.159632034632034,5.0,6.599999999999999,7.5,7.7083325,10.0,2022,4.0,L,,,,,,Fase 4 (9º ano),,2018.0,Sim,297.0,25.0,5.0,3.333333333333333,7.666666666666667,8.799999999999999,4.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Não
1520,,ALUNO-158,,,,Não,5.623852223240812,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,4.747740005092947,5.0,4.111111111111112,7.1875,6.49999,5.0,2022,4.0,F,,,,,,Fase 6 (2º EM),,2018.0,Não,772.0,69.0,14.0,3.666666666666667,5.166666666666667,3.5,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não
1521,,ALUNO-159,,,,Sim,7.484878876543211,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,8.966049382716049,5.625,7.25,5.625,8.583335,5.0,2022,0.0,J,,,,,,Fase 2 (5º e 6º ano),,2021.0,Não,316.0,92.0,4.0,7.833333333333333,6.666666666666667,,2.0,Promovido de Fase,Promovido de Fase,,,Não
1522,,ALUNO-164,,,,Não,6.837216877492878,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,7.304131054131053,7.5,5.75,6.041666666666667,7.61111,5.0,2022,2.0,B,,,,,,Fase 3 (7º e 8º ano),,2019.0,Não,544.0,84.0,10.0,5.333333333333333,6.166666666666667,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não
1523,,ALUNO-165,,,,Sim,8.18081096969697,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,9.848484848484848,8.125,8.416666666666668,6.875,8.388893333333334,5.0,2022,1.0,R,,,,,,Fase 3 (7º e 8º ano),,2019.0,Não,90.0,20.0,1.0,8.833333333333334,8.0,,3.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,,Sim
1524,,ALUNO-166,,,,Não,6.641311207977208,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.03988603988604,4.375,4.75,5.625,7.16666,5.0,2022,1.0,F,,,,,,Fase 2 (5º e 6º ano),,2022.0,Não,612.0,147.0,7.0,2.5,7.0,,2.0,Mantido na Fase atual,Promovido de Fase,,,Não
1525,,ALUNO-167,,,,Não,6.985914031746033,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.825396825396826,7.5,2.75,6.041666666666667,7.333329999999999,10.0,2022,2.0,A,,,,,,Fase 2 (5º e 6º ano),,2021.0,Não,491.0,72.0,7.0,2.333333333333333,3.166666666666667,,3.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não
1526,,ALUNO-168,,,,Não,6.434172224089636,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.002801120448179,6.25,6.133333333333333,6.041666666666667,6.888883333333332,5.0,2022,2.0,Q,,,,,,Fase 3 (7º e 8º ano),,2019.0,Não,654.0,117.0,9.0,3.1,9.166666666666666,,3.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,Não
1527,,ALUNO-169,,,,Não,7.284936897435898,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,8.945512820512821,5.0,6.916666666666666,5.625,7.999995,5.0,2022,0.0,G,,,,,,Fase 2 (5º e 6º ano),,2020.0,Não,398.0,116.0,5.0,7.0,6.833333333333333,,2.0,Mantido na Fase atual,Mantido na Fase atual,,,Não
1528,,ALUNO-170,,,,Não,7.523833791887125,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.50002,8.959435626102293,7.5,8.25,6.041666666666667,7.38889,5.0,2022,1.0,N,,,,,,Fase 3 (7º e 8º ano),,2022.0,Não,300.0,79.0,4.0,9.333333333333334,7.166666666666667,,3.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não
1529,,ALUNO-171,,,,Não,7.304860777777779,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.255555555555556,7.5,7.633333333333333,7.1875,6.83333,5.0,2022,4.0,A,,,,,,Fase 5 (1º EM),,2021.0,Não,387.0,31.0,8.0,7.166666666666667,6.5,9.233333333333333,4.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Sim
1530,,ALUNO-172,,,,Não,6.407077164021164,,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.41668,8.32010582010582,5.0,5.75,5.625,6.94444,5.0,2022,1.0,B,,,,,,Fase 2 (5º e 6º ano),,2022.0,Não,661.0,159.0,13.0,6.333333333333333,5.166666666666667,,3.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,,Não
